接收无人机,候选发射无人机,理论角度(度),角度下界(度),角度上界(度)
2,9,19.999999999999993,0.0,30.0
2,8,40.00000000000001,30.0,50.00000000000001
2,7,60.00000000000001,50.00000000000001,70.00000000000001
2,6,80.00000000000001,70.00000000000001,90.00000000000001
2,5,100.00000000000001,90.00000000000001,110.00000000000001
2,4,120.00000000000001,110.00000000000001,130.0
2,3,140.0,130.0,180.0
3,2,19.999999999999993,0.0,20.00000000000002
3,9,20.00000000000005,20.00000000000002,30.00000000000003
3,8,40.00000000000001,30.00000000000003,50.00000000000001
3,7,60.00000000000001,50.00000000000001,70.00000000000001
3,6,80.00000000000001,70.00000000000001,90.00000000000001
3,5,100.00000000000001,90.00000000000001,110.00000000000001
3,4,120.00000000000001,110.00000000000001,180.0
4,9,19.999999999999975,0.0,19.999999999999986
4,2,19.999999999999993,19.999999999999986,29.999999999999993
4,3,39.99999999999999,29.999999999999993,40.0
4,8,40.00000000000001,40.0,50.00000000000001
4,7,60.00000000000001,50.00000000000001,70.0
4,6,80.0,70.0,90.0
4,5,100.0,90.0,180.0
5,2,20.00000000000001,0.0,20.00000000000002
5,9,20.000000000000032,20.00000000000002,30.00000000000002
5,3,40.00000000000001,30.00000000000002,40.000000000000014
5,8,40.00000000000002,40.000000000000014,50.000000000000014
5,4,60.00000000000001,50.000000000000014,60.00000000000001
5,7,60.00000000000001,60.00000000000001,70.00000000000001
5,6,80.00000000000001,70.00000000000001,180.0
6,9,19.999999999999975,0.0,19.999999999999986
6,2,19.999999999999993,19.999999999999986,29.99999999999999
6,3,39.999999999999986,29.99999999999999,40.0
6,8,40.00000000000002,40.0,50.00000000000001
6,4,59.99999999999999,50.00000000000001,60.00000000000001
6,7,60.00000000000002,60.00000000000001,70.0
6,5,79.99999999999999,70.0,180.0
7,2,20.00000000000001,0.0,20.00000000000001
7,9,20.00000000000001,20.00000000000001,30.000000000000014
7,3,40.000000000000014,30.000000000000014,40.000000000000014
7,8,40.00000000000002,40.000000000000014,50.00000000000001
7,4,59.99999999999999,50.00000000000001,70.0
7,5,80.0,70.0,90.0
7,6,100.0,90.0,180.0
8,2,19.999999999999954,0.0,19.999999999999954
8,9,19.999999999999954,19.999999999999954,29.99999999999998
8,3,40.00000000000001,29.99999999999998,50.0
8,4,59.99999999999999,50.0,69.99999999999999
8,5,79.99999999999999,69.99999999999999,90.0
8,6,100.0,90.0,110.0
8,7,119.99999999999999,110.0,180.0
9,2,20.00000000000001,0.0,30.000000000000007
9,3,40.00000000000001,30.000000000000007,50.00000000000001
9,4,60.00000000000001,50.00000000000001,70.0
9,5,80.0,70.0,90.0
9,6,100.0,90.0,110.0
9,7,119.99999999999999,110.0,130.0
9,8,140.0,130.0,180.0
