轮次,发射机,接收机数量,轮前L2,轮后L2,轮后最大误差
1,"FY00,FY01,FY05",7,494.81360763878666,23.423853268755035,2.4239933256781496
2,"FY00,FY01,FY05,FY08",6,23.423853268755035,9.488052440697588,2.014574616359741
3,"FY00,FY01,FY06",7,9.488052440697588,4.283919014535093,0.975019810456857
4,"FY00,FY01,FY05,FY08",6,4.283919014535093,2.357011190398751,0.8556934051833638
5,"FY00,FY01,FY06",7,2.357011190398751,0.6283828148899174,0.3733390281853709
6,"FY00,FY01,FY05,FY08",6,0.6283828148899174,0.3485819545987172,0.32701827265442807
7,"FY00,FY01,FY06",7,0.3485819545987172,0.0957174319536617,0.14559949738867628
8,"FY00,FY01,FY05,FY08",6,0.0957174319536617,0.05313884342426183,0.1278483133019939
9,"FY00,FY01,FY06",7,0.05313884342426183,0.01440991810889523,0.05647731822952434
10,"FY00,FY01,FY05,FY08",6,0.01440991810889523,0.008002564007678858,0.049636829370442635
11,"FY00,FY01,FY06",7,0.008002564007678858,0.0021602844448642615,0.02186506273264863
12,"FY00,FY01,FY05,FY08",6,0.0021602844448642615,0.0011998633570845419,0.01922354701577442
13,"FY00,FY01,FY06",7,0.0011998633570845419,0.0003233201366688946,0.008458490726165625
14,"FY00,FY01,FY05,FY08",6,0.0003233201366688946,0.00017958650022172447,0.007437633660306894
15,"FY00,FY01,FY06",7,0.00017958650022172447,4.835817414657524e-05,0.0032711779322483637
